id,category,prompt,response,source,source_id
codealpaca-2151,coding,Develop a classifier in Python to predict the language of a given text.,"import nltk class LanguageClassifier(object): def __init__(self): self.languages = [] def train(self, data): train_sents = [] train_tags = [] # extract sentences and tags from data for lang, sentences in data.items(): self.languages.append(lang) train_sents.extend(sentences) train_tags.extend([lang] * len(sentences)) # build featureset feature_set = [] for (words, lang) in zip(train_sents, train_tags): words_dict = dict([(word, True) for word in words]) feature_set.append((words_dict, lang)) # train classifier self.classifier = nltk.NaiveBayesClassifier.train(feature_set) def predict(self, sentence): words_dict = dict([(word, True) for word in sentence]) return self.classifier.classify(words_dict)",sahil2801/CodeAlpaca-20k,2151
codealpaca-15604,coding,"Create a list in Python called ""my_list"" and populate it with five integers ranging from 0 to 5.","my_list = [0, 1, 2, 3, 4, 5]",sahil2801/CodeAlpaca-20k,15604
codealpaca-3034,coding,"Write a code to generate a random password consisting of 8 characters with atleast one lowercase letter, one uppercase letter and one number.",import string import random def generate_password(): password_characters = string.ascii_letters + string.digits password = ''.join(random.choice(password_characters) for i in range(8)) if not any(char.islower() for char in password): password = password[:7] + random.choice(string.ascii_lowercase) if not any(char.isupper() for char in password): password = password[:7] + random.choice(string.ascii_uppercase) if not any(char.isdigit() for char in password): password = password[:7] + random.choice(string.digits) return password,sahil2801/CodeAlpaca-20k,3034
dolly-5501,factual,How should I clean a stainless steel pan?,"The simplest way is to add soapy water to the pan and bring it to a boil. Scraping off the food bits with a wooden spatula becomes easy then. For tougher stains you should use a combination of baking soda and vinegar. Let the mixture sit in the pan for a while, rinse it out, and then follow the soapy water procedure.",databricks/databricks-dolly-15k,5501
dolly-6785,factual,What are examples of famous plays written by William Shakespeare?,"Famous plays written by William Shakespeare include Romeo and Juliet, Hamlet, King Lear, and Macbeth.",databricks/databricks-dolly-15k,6785
dolly-3881,factual,How do you wheelie a motorcycle?,"While moving at constant speed, have your right foot covering the brake, compress the motorcycles suspension by pushing down equally on the handle bars and foot pegs, as the suspension starts to rebound upward, blip the throttle. This will lift the front wheel off the ground. If the wheel goes too high use the rear brake to bring it back down.",databricks/databricks-dolly-15k,3881
codealpaca-447,coding,Create a C++ code to find the average of n numbers.,"#include <iostream> using namespace std; float avg(int n, int arr[]) { float sum, avg; for (int i = 0; i < n; i++) { sum = sum + arr[i]; } avg = sum / n; return avg; }",sahil2801/CodeAlpaca-20k,447
dolly-4433,factual,What percentage of the world is left-handed?,It's estimated about ten percent of the global populated are left-hand dominant.,databricks/databricks-dolly-15k,4433
dolly-1337,factual,"In Digital Marketing, what is the difference between SEO and SEM?",SEO stands for Search Engine Optimization and it focuses on the creation and enhancement of webpages to improve their rankings in organic search results. SEM stands for Search Engine Marketing and it focuses on the use of paid advertisements to rank at the top of Search Engine Results Page.,databricks/databricks-dolly-15k,1337
dolly-6403,factual,Can you put metal in a microwave?,Most metals should not be put in a microwave oven,databricks/databricks-dolly-15k,6403
codealpaca-3315,coding,Write a number of HTML tags such that their end tags are mismatched.,<html> <head> <title>Test</title> </head> <body> <h1>My Heading</h1> <p>This is a test. </body> </html>,sahil2801/CodeAlpaca-20k,3315
dolly-14844,factual,What is the main language spoken in South America?,Spanish,databricks/databricks-dolly-15k,14844
codealpaca-1165,coding,Write a Python program to add two matrices.,"def add_matrices(mat1, mat2): """""" This function takes two 2D matrices and adds them, returning a new 2D matrix. """""" output = [] for i in range(len(mat1)): row_m1 = mat1[i] row_m2 = mat2[i] row_sum = [] for j in range(len(row_m1)): row_sum.append(row_m1[j] + row_m2[j]) output.append(row_sum) return output result = add_matrices(matrix1, matrix2)",sahil2801/CodeAlpaca-20k,1165
dolly-4004,factual,What is digestion?,Digestion is the break down of food after it has been eaten. It converts large food molecules into water soluble molecules. These smaller water soluble molecules can then be absorbed by blood plasma and used as energy within the human body's cells. The nutrients are also used for growth and tissue repair.,databricks/databricks-dolly-15k,4004
dolly-14681,factual,What is the Cassandra database?,"Cassandra is a free and open-source, distributed, wide-column store, NoSQL database management system designed to handle large amounts of data across many commodity servers, providing high availability with no single point of failure.",databricks/databricks-dolly-15k,14681
codealpaca-19785,coding,Write a JavaScript function that takes a string as an argument and produces a new string with the duplicated characters removed.,function removeDuplicates(str) { let result = ''; let seen = new Set(); for (let char of str) { if (!seen.has(char)) { seen.add(char); result += char; } } return result; },sahil2801/CodeAlpaca-20k,19785
dolly-1787,factual,Which artist made the hit song One More Time?,Daft Punk,databricks/databricks-dolly-15k,1787
codealpaca-7465,coding,Create an Apache Spark program written in Scala that takes in an RDD and returns the same RDD multiplied by 2.,"val rdd = sc.parallelize(List(1,2,3,4,5)) val newRDD = rdd.map(x => x*2) print(newRDD.collect().mkString("",""))",sahil2801/CodeAlpaca-20k,7465
dolly-34,factual,What is underwriting?,"Underwriting (UW) services are provided by some large financial institutions, such as banks, insurance companies and investment houses, whereby they guarantee payment in case of damage or financial loss and accept the financial risk for liability arising from such guarantee. An underwriting arrangement may be created in a number of situations including insurance, issues of security in a public offering, and bank lending, among others. The person or institution that agrees to sell a minimum number of securities of the company for commission is called the underwriter. The term ""underwriting"" derives from the Lloyd's of London insurance market. Financial backers (or risk takers), who would accept some of the risk on a given venture (historically a sea voyage with associated risks of shipwreck) in exchange for a premium, would literally write their names under the risk information that was written on a Lloyd's slip created for this purpose.",databricks/databricks-dolly-15k,34
codealpaca-7718,coding,Write a Python code to search for a given keyword in a dictionary.,"def search(dic, keyword): for key, value in dic.items(): if keyword in key: return value return ""No matching keyword found!"" search(dictionary, 'Laptop')",sahil2801/CodeAlpaca-20k,7718
dolly-11420,factual,"Name some birds that are commonly observed in Berkeley, CA.","In Berkeley, it is common to see hummingbirds, crows, mourning doves, steller’s jays, song sparrows, and California gulls. It’s also possible to observe a red-tailed hawk or a great horned owl.",databricks/databricks-dolly-15k,11420
codealpaca-19508,coding,How do you perform error handling in JavaScript?,"In JavaScript, error handling can be done with try...catch statements. The syntax of the try...catch statement consists of a try block followed by one or more catch clauses. The try block contains the code that may throw an error, whereas the catch block contains the code that will be executed if an error is thrown. The error object can be used to get information about the error.",sahil2801/CodeAlpaca-20k,19508
codealpaca-9225,coding,Write a SQL query to retrieve the names of all products from the table 'Product' with a price greater than $100.,SELECT name FROM Product WHERE price > 100;,sahil2801/CodeAlpaca-20k,9225
codealpaca-5170,coding,Create a program in Java that takes in 2 numbers and swaps them.,"int a = 5; int b = 3; int temp = a; a = b; b = temp; System.out.println(""a is: "" + a); // Outputs 3 System.out.println(""b is: "" + b); // Outputs 5",sahil2801/CodeAlpaca-20k,5170
dolly-5428,factual,What is the Mayan Civilization known for?,"The Maya civilization of the Mesoamerican people is known by its ancient temples and glyphs. Its Maya script is the most sophisticated and highly developed writing system in the pre-Columbian Americas. The first Maya cities developed around 750 BC, and by 500 BC.It is also noted for its art, architecture, mathematics, calendar, and astronomical system. The Maya civilization developed in the Maya Region, an area that today comprises southeastern Mexico, all of Guatemala and Belize, and the western portions of Honduras and El Salvador.",databricks/databricks-dolly-15k,5428
codealpaca-3900,coding,Write a C# method that takes in an integer and multiplies it by 5,public static int multiplyBy5(int num) { return num * 5; },sahil2801/CodeAlpaca-20k,3900
dolly-6615,factual,What is a reporting dashboard?,A reporting dashboard is a way to show business metrics and business insights based on business data. It enables high level leadership and management to make and implement decisions that have a positive affect on a Company's revenue. These benefits include both added revenue and stopping lost revenue. Data Analyst work with Data Engineers to develop these dashboards and reporting.,databricks/databricks-dolly-15k,6615
dolly-13823,factual,What is basketball?,Basketball is a sport where two teams play against each other on a court with two hoops. One hoop is for each team. Each teams scores a point by putting a ball through the opponent's hoop. They play against each other in a rectangular style court and each team consists of 5 players each.,databricks/databricks-dolly-15k,13823
codealpaca-19735,coding,"Create a function in Python that takes one parameter, a list, and outputs the list in reverse.","def reverseList (list): list.reverse() return list reverseList(myList) # Returns [4, 3, 2, 1]",sahil2801/CodeAlpaca-20k,19735
dolly-6166,factual,What is the The Science Laureates of the United States Act of 2013,"The Science Laureates of the United States Act of 2013 (H.R. 1891) is a bill that would create the position of Science Laureate of the United States, meant to be similar to the United States Poet Laureate. The Science Laureate would spend their term traveling around the country promoting science and research to students and the general public. The bill was introduced into the United States House of Representatives during the 113th United States Congress.",databricks/databricks-dolly-15k,6166
codealpaca-1950,coding,Implement a linear search algorithm in C language that takes an array and a value as input and returns the index of the value’s first occurrence in the given array.,"int linearSearch(int array[], int size, int key) { for (int i = 0; i < size; i++) { if (array[i] == key) return i; } return -1; }",sahil2801/CodeAlpaca-20k,1950
dolly-12056,factual,How many strings are on a violin?,Four,databricks/databricks-dolly-15k,12056
dolly-12142,factual,"What are the following: Palm Pre, iPhone, Samsung Galaxy Note, Razr, HTC One X","These are all examples of mobile phones. The iPhone, Samsung Galaxy Note, and HTC One X are examples of smartphones, which is a mobile phone that can also access the internet and run applications like Instagram or Gmail.",databricks/databricks-dolly-15k,12142
codealpaca-13132,coding,Write a JavaScript program to generate and print multiplication table up to 10.,"for(var i = 1; i <= 10; i++) { for(var j = 1; j <= 10; j++) { console.log(i + "" x "" + j + "" = "" + (i*j)); } }",sahil2801/CodeAlpaca-20k,13132
codealpaca-245,coding,Write a function to determine if two strings are anagrams of each other,"def are_anagrams(str1, str2): if len(str1) != len(str2): return False freq1 = {} freq2 = {} for char in str1: if char not in freq1: freq1[char] = 1 else: freq1[char] += 1 for char in str2: if char not in freq2: freq2[char] = 1 else: freq2[char] += 1 for key in freq1: if key not in freq2 or freq2[key] != freq1[key]: return False return True",sahil2801/CodeAlpaca-20k,245
dolly-8306,factual,What is stratigraphy?,Stratigraphy is a subset of geology and is the classification of layers (strata) of soil and rock.,databricks/databricks-dolly-15k,8306
codealpaca-16392,coding,"Using the input as a guide, write code that prints out a copy of the 2d matrix with its elements transposed.","def transpose_matrix(matrix): """"""Function to transpose 2d list matrix"""""" row = len(matrix) col = len(matrix[0]) transpose = [[0 for j in range(row)] for i in range(col)] for i in range(row): for j in range(col): transpose[j][i] = matrix[i][j] for i in range(col): print(transpose[i]) if __name__ == '__main__': matrix = [[1,2,3],[4,5,6],[7,8,9]] transpose_matrix(matrix)",sahil2801/CodeAlpaca-20k,16392
codealpaca-4942,coding,What is a use case for exception handling in Java?,"Exception handling in Java is used to catch and handle errors in code. When an exception occurs, a program may throw an exception object and propagate it to the code that invoked the program; this allows the program to handle the exception and take the necessary actions. Exception handling also allows for code to be written that handles expected errors and ensures the failure of a program does not lead to an undesired result or invalid state.",sahil2801/CodeAlpaca-20k,4942
codealpaca-12674,coding,Implement a method in Java to reverse a number,public class ReverseNumber { public static int reverseNumber(int num) { int reversed = 0; while(num > 0) { reversed *= 10; reversed += num % 10; num /= 10; } return reversed; } },sahil2801/CodeAlpaca-20k,12674
codealpaca-10422,coding,Modify the given Java code to print the first character of each word in a sentence.,"String sentence = ""Today is a good day""; String[] words = sentence.split("" ""); for (String word : words) { System.out.print(word.charAt(0)); }",sahil2801/CodeAlpaca-20k,10422
codealpaca-19145,coding,You are given a string and you need to write a function that splits the string at the mid point and switch the order of the two parts.,"function splitAndSwitch(str) { let mid = Math.floor(str.length / 2); let firstHalf = str.substr(0, mid); let secondHalf = str.substr(mid); return secondHalf + firstHalf; } console.log(splitAndSwitch(str)); // returns ""World!Hello""",sahil2801/CodeAlpaca-20k,19145
codealpaca-10628,coding,Create an algorithm in Java that prints the prime numbers between 1 and 100.,"class PrimeNumber{ public static void main(String args[]){ int i,m=0,flag=0; int n=100;//it is the number to be checked m=n/2; for(i=2;i<=m;i++){ if(n%i==0){ System.out.println(""Number is not prime""); flag=1; break; } } if(flag==0) System.out.println(""Number is prime""); } }",sahil2801/CodeAlpaca-20k,10628
codealpaca-1568,coding,Write an HTML link tag to open a link in a new tab.,"<a href=""http://example.com"" target=""_blank"">Link</a>",sahil2801/CodeAlpaca-20k,1568
dolly-4278,factual,What is viscosity?,"Viscosity is a measurement of how a substance flows due to its consistency as a fluid or semifluid. A lower viscosity substance, like water, will flow more easily than a higher viscosity substance, like honey.",databricks/databricks-dolly-15k,4278
codealpaca-4312,coding,Modify the given C# program to count all the vowels in a given string.,"string str = ""This is a sample string.""; int count = 0; foreach (char ch in str) { switch (ch) { case 'a': case 'e': case 'i': case 'o': case 'u': count++; break; } } Console.WriteLine(""Number of vowels in the given string: "" + count);",sahil2801/CodeAlpaca-20k,4312
codealpaca-651,coding,Construct an XML element with tag 'hello' and the text 'Welcome to my website'.,<hello>Welcome to my website</hello>,sahil2801/CodeAlpaca-20k,651
codealpaca-14979,coding,Write a generic code for traversing a tree.,def traverse_tree(root): if root is None: return traverse_tree(root.left) print(root.data) traverse_tree(root.right),sahil2801/CodeAlpaca-20k,14979
codealpaca-6558,coding,Use Python to print a multiplication table for the numbers from 1 to 10.,"# Print multiplication table for i in range(1, 11): for j in range(1, 11): print('{0} x {1} = {2}'.format(i, j, i*j)) print('\n')",sahil2801/CodeAlpaca-20k,6558
codealpaca-11301,coding,"In the following code, what is the purpose of the 'if' statement?","The 'if' statement is used to check if the length of the current word is greater than 4, and if it is, the word is printed.",sahil2801/CodeAlpaca-20k,11301
dolly-9502,factual,What is the Charles 'Chick' Evans Memorial Scholarship?,"The Charles ""Chick"" Evans Memorial Scholarship is given to deserving young caddies that have demonstrated excellence in the classroom, in their community and on the golf course. It is a full tuition paid scholarship and includes paid housing. The scholarship was referenced in the famous movie 'Caddyshack'.",databricks/databricks-dolly-15k,9502
codealpaca-13961,coding,Make a REST API call to get the latest version of Python.,"import requests def get_latest_python_version(): url = 'https://www.python.org/ftp/python/' response = requests.get(url) if response.status_code == 200: html = response.text start_index = html.find('<a href=""') if start_index != -1: end_index = html.find('/"">', start_index + 1) if end_index != -1: version = html[start_index + 9:end_index] return version return None",sahil2801/CodeAlpaca-20k,13961
codealpaca-8511,coding,Compose a SQL query to count the number of users who logged in yesterday.,SELECT COUNT(*) FROM users WHERE login_date = CURRENT_DATE - INTERVAL 1 DAY,sahil2801/CodeAlpaca-20k,8511
dolly-12437,factual,What's the origin of Dog Day Afternoon?,"This is a real incident that happened in NY in the mid-70s. It's about this man (played by Al Pacino) who's married to a woman. But then he also fell in love with a man. His partner said he's trapped in the wrong body. So, Al Pacino decided to rob a bank to get money for his partner's sex change.",databricks/databricks-dolly-15k,12437
codealpaca-1093,coding,Design a function with the following output.,"def sayHi(name): print(""Hi ""+name+""! How are you today?"")",sahil2801/CodeAlpaca-20k,1093
codealpaca-8268,coding,"From a given string, count the number of unique characters",def count_unique_chars(s): chars = set() for char in s: chars.add(char) return len(chars),sahil2801/CodeAlpaca-20k,8268
codealpaca-4384,coding,Classify the given sentence as short or long.,Short sentence.,sahil2801/CodeAlpaca-20k,4384
dolly-2863,factual,"Which of the following famous basketball players have won an NBA championship: Lebron James, Steve Nash, Michael Jordan, Charles Barkley, Dwight Howard, Larry Bird, and Chris Paul","Chris Paul, Charles Barkley, Dwight Howard, and Steve Nash have never won an NBA championship. Lebron James, Michael Jordan, and Larry Bird have all won an NBA championship. In fact, all three of those players have won multiple championships.",databricks/databricks-dolly-15k,2863
dolly-4226,factual,Who regulates companies in Australia?,"The Australian Securities and Investments Commission (ASIC) regulates financial services and consumer credit, and authorised financial markets operating in Australia.",databricks/databricks-dolly-15k,4226
codealpaca-5372,coding,"Create a Windows batch command to check if a folder named ""Temp"" exists or not.","IF EXIST ""Temp"" ( ECHO Folder exists ) ELSE ( ECHO Folder does not exist )",sahil2801/CodeAlpaca-20k,5372
codealpaca-8129,coding,Write a Java code to find the maximum of two numbers a and b.,int max; if (a > b) { max = a; } else { max = b; },sahil2801/CodeAlpaca-20k,8129
dolly-11391,factual,What is the Nehemiah Hubbard House,"The Nehemiah Hubbard House is a historic house at the corner of Laurel Grove and Wadsworth Street, Middletown, Connecticut. Built in 1745, it is a center-chimney colonial style house built of clapboard siding and brownstone foundation with wood shingle roof; using a structural system of wood frame, post and beam with gable roof. It was built as a residence which is its current use.",databricks/databricks-dolly-15k,11391
dolly-498,factual,What is the current reigning dynasty of Thailand?,The current reigning dynasty of Thailand is Chakri dynasty and the current King of the dynasty is Maha Vajiralongkorn.,databricks/databricks-dolly-15k,498
dolly-13247,factual,What is a Cheque card?,This type of card is issued by a bank to a customer. It guarantees that a cheque used with the card will be paid if the person issuing the cheque has kept to all the conditions.,databricks/databricks-dolly-15k,13247
dolly-14543,factual,What is Rhaeboceras,Rhaeboceras is an extinct genus of ammonite belonging to the subfamily Scaphitinae. Species belonging to the genus lived during the Cretaceous and have been found in the Pierre Shale of North America.,databricks/databricks-dolly-15k,14543
codealpaca-15947,coding,Create a CSS rule to set the size for all h1 elements as 34px.,h1 { font-size: 34px; },sahil2801/CodeAlpaca-20k,15947
codealpaca-18092,coding,Write a JavaScript program that logs a message to the console.,"console.log(""Hello!"");",sahil2801/CodeAlpaca-20k,18092
codealpaca-17622,coding,Write a MySQL query to select the name of the customer and the total sales made by each customer in a given month.,"SELECT customers.name, sum(sales.amount) as total_sales FROM customers INNER JOIN sales ON customers.customer_id = sales.customer_id WHERE MONTH(sales.date) = '04' AND YEAR(sales.date) = '2021' GROUP BY customers.name",sahil2801/CodeAlpaca-20k,17622
dolly-11813,factual,How many episodes in season one of Game of Thrones did Tim Van Patten direct?,Tim Van Patten directed the first two episodes of the first season of Game of Thrones: Winter is Coming and The Kingsroad.,databricks/databricks-dolly-15k,11813
codealpaca-6240,coding,Create a Java program which takes two integers as input and prints their greatest common divisor.,"public static int gcd(int a, int b){ // Base Case if (a == 0) return b; if (b == 0) return a; // a is greater if (a > b) return gcd(a-b, b); return gcd(a, b-a); }",sahil2801/CodeAlpaca-20k,6240
codealpaca-4004,coding,Create a function to calculate the binomial coefficient for two integers.,"def binomial_coefficient(n, r): fact = 1 if r > n - r: r = n - r for i in range(r): fact *= (n) - i fact /= (i+1) return int(fact) print(binomial_coefficient(n, r))",sahil2801/CodeAlpaca-20k,4004
dolly-4496,factual,What is Spatial Analysis?,"Spatial analysis is any of the formal techniques which studies entities using their topological, geometric, or geographic properties. Spatial analysis includes a variety of techniques using different analytic approaches, especially spatial statistics. In may be applied in fields as diverse as astronomy, with its studies of the placement of galaxies in the cosmos, or to chip fabrication engineering, with its use of ""place and route"" algorithms to build complex wiring structures. In a more restricted sense, spatial analysis is geospatial analysis, the technique applied to structures at the human scale, most notably in the analysis of geographic data. It may also be applied to genomics, as in transcriptomics data. Complex issues arise in spatial analysis, many of which are neither clearly defined nor completely resolved, but form the basis for current research. The most fundamental of these is the problem of defining the spatial location of the entities being studied. Classification of the techniques of spatial analysis is difficult because of the large number of different fields of research involved, the different fundamental approaches which can be chosen, and the many forms the data can take.",databricks/databricks-dolly-15k,4496
codealpaca-1625,coding,Create a for loop in JavaScript to iterate through the given array and print out their sum.,"let result = 0; let numList = [20, 32, 45, 16]; for (let i = 0; i < numList.length; i++){ result += numList[i]; } console.log(result);",sahil2801/CodeAlpaca-20k,1625
codealpaca-10277,coding,Create a validation rule to check if an email address is valid for an input field in JavaScript.,"function validateEmail(email) { var re = /^(([^<>()[\]\\.,;:\s@\""]+(\.[^<>()[\]\\.,;:\s@\""]+)*)|(\"".+\""))@((\[[0-9]{1,3}\.[0-9]{1,3}\.[0-9]{1,3}\.[0-9]{1,3}\])|(([a-zA-Z\-0-9]+\.)+[a-zA-Z]{2,}))$/; return re.test(email); }",sahil2801/CodeAlpaca-20k,10277
codealpaca-15781,coding,Create a function in C# which takes a string as an input and returns a boolean value indicating if the string is a palindrome or not.,static bool IsPalindrome(string s) { int n = s.Length; for (int i = 0; i < n / 2; i++) { if (s[i] != s[n-i-1]) return false; } return true; } Console.Write(IsPalindrome(s)); // true,sahil2801/CodeAlpaca-20k,15781
codealpaca-4777,coding,Create a function that takes in a number and returns all the prime factors.,def prime_factorize(num): '''This function takes in a number and returns all the prime factors.''' primes = [] i = 2 while i * i <= num: while num % i == 0: primes.append(i) num //= i i += 1 if num > 1: primes.append(num) return primes,sahil2801/CodeAlpaca-20k,4777
codealpaca-15667,coding,Generate a code to find the power of n to m.,"def pow_n_m(n, m): result = 1 for i in range(1, m+1): result *= n return result # example n = 3 m = 7 print(pow_n_m(n, m))",sahil2801/CodeAlpaca-20k,15667
codealpaca-12394,coding,Create a database table using SQL to store user preferences.,"CREATE TABLE user_preferences ( user_id INTEGER, preference VARCHAR (50) );",sahil2801/CodeAlpaca-20k,12394
dolly-14009,factual,What is a verb?,"A verb is a word that in syntax generally conveys an action, an occurrence, or a state of being. In the usual description of English, the basic form, with or without the particle to, is the infinitive. In many languages, verbs are inflected to encode tense, aspect, mood, and voice",databricks/databricks-dolly-15k,14009
dolly-9470,factual,How many atomic bombs have been used in combat in human history?,Two atomic bombs have been deployed against populations in human history,databricks/databricks-dolly-15k,9470
dolly-678,factual,What is the fastest way to travel between the United States and Croatia?,"The fastest way to travel would be by airplane, which would be faster than a boat trip",databricks/databricks-dolly-15k,678
dolly-3842,factual,What is the value of x if x^2 = 4?,The value of x is either 2 or -2. This is because the square of both those numbers is 4 as shown below: 2 * 2 = 4 -2 * -2 = 4,databricks/databricks-dolly-15k,3842
dolly-8093,factual,What is rationing?,Rationing is the restriction of goods. It is mostly done when there are insufficient goods/products to meet the demand or needs of the people. It is used to save resources.,databricks/databricks-dolly-15k,8093
codealpaca-15513,coding,Create an SQL query that returns all customers in New York state who have purchased a product in the last 6 months.,"SELECT * FROM customers WHERE state = 'New York' AND purchase_date >= DATE_SUB(NOW(), INTERVAL 6 MONTH)",sahil2801/CodeAlpaca-20k,15513
codealpaca-5833,coding,Create an HTML page that displays an alert when a page is visited.,"<!DOCTYPE html> <html> <head> <title>Alert Message Box</title> <script> window.onload = function() { alert(""Welcome to my webpage!""); } </script> </head> <body> </body> </html>",sahil2801/CodeAlpaca-20k,5833
dolly-4156,factual,How is it that some high net-worth individuals are able to avoid paying taxes completely?,"The Internal Revenue Service (IRS) taxes regular income and investment income differently. For one type of common investment income i.e long term capital gains, the tax rates are 0%, 15% and 20% based on the annual income of the individual. The income used for calculating the above rates doesn't include income from the long term capital gains itself. For example, if an individual makes less than $41,675 for the year 2022 through regular income, his or her capital gains tax rate would be 0% even if the long term capital gains itself is more than a million dollars. Assuming many of these high net-worth individuals don't have any regular income and all their income is through long term capital gains, they end up paying no taxes at all.",databricks/databricks-dolly-15k,4156
codealpaca-10801,coding,"Write code that takes in two numeric variables x and y, and if x is divisible by y, it should print ""x is divisible by y""Otherwise it should print ""x is not divisible by y"".","def is_divisible(x, y): if x % y == 0: print(""x is divisible by y"") else: print(""x is not divisible by y"") # testing x = 9 y = 3 print(is_divisible(x ,y)) # Output: x is divisible by y",sahil2801/CodeAlpaca-20k,10801
codealpaca-13719,coding,"Create an HTML document to display ""Hello, World!"" in bold.","<!DOCTYPE html> <html> <head> <title>Hello World</title> </head> <body> <b>Hello, World!</b> </body> </html>",sahil2801/CodeAlpaca-20k,13719
codealpaca-15225,coding,"Alter the following code to create a function called ""find_largest"" to find the largest number in a given list.",def find_largest(lst): largest_number = lst[0] for num in lst: if num > largest_number: largest_number = num return largest_number,sahil2801/CodeAlpaca-20k,15225
codealpaca-5581,coding,encode a given string using the Base64 algorithm,"import base64 def encode_base64(string): """"""Encode the given string using the Base64 algorithm"""""" byte_string = string.encode('utf-8') return base64.b64encode(byte_string).decode('utf-8')",sahil2801/CodeAlpaca-20k,5581
codealpaca-113,coding,Write a Python program to print out an ASCII art of a given word.,"def draw_word(word): art = """""" __ _ / \\ \\_/\_/\_/ / | \___/ \\\\_// \/ \/ \/ """""" for letter in word: art += "" "" + letter print(art)",sahil2801/CodeAlpaca-20k,113
dolly-10011,factual,Name a famous silent comedy film,"Andersson's Kalle (Swedish: Anderssonskans Kalle) is a 1922 Swedish silent comedy film directed by Sigurd Wallén and starring Gösta Alexandersson, Dagmar Ebbesen and Stina Berg. It is based on the 1901 novel of the same title by Emil Norlander, which has been adapted into films on several occasions. It was followed by a sequel New Pranks of Andersson's Kalle in 1923. In 1934 Wallén remade it into a sound film.",databricks/databricks-dolly-15k,10011
